";ITEM  RASCH_FT_FCIP_EXAMPLE  Jul 17 2023 20:27"
"ENTRY","MEASURE","STATUS","COUNT","SCORE","MODLSE","IN.MSQ","IN.ZSTD","OUT.MSQ","OUT.ZSTD","DISPLACE","PBSX","WEIGHT","OBSMATCH","EXPMATCH","PBSX-E","RMSR","WMLE","INDF","OUTDF","GROUPING","MODEL","RECODE","NAME"
40,.559208,1,500.0000,194.0000,.100206,1.0473,1.1710,1.0683,1.0411,.002066,.3353,1.0000,67.200,69.946,.3828,.4506,.559178,1233.7,462.30,"0","R","K","MCQ_FT_07"
41,.703584,1,500.0000,180.0000,.101538,.9847,-.3490,.9559,-.6090,.002062,.3921,1.0000,72.200,70.971,.3785,.4312,.703544,1118.7,398.44,"0","R","K","MCQ_FT_08"
42,-1.91956,1,500.0000,417.0000,.127833,.9848,-.1690,1.0100,.1210,.002126,.3206,1.0000,83.800,84.095,.3009,.3425,-1.91928,329.33,89.05,"0","R","K","MCQ_FT_09"
43,-1.00918,1,500.0000,349.0000,.105870,1.0316,.6510,.9960,-.0190,.002116,.3351,1.0000,73.800,74.365,.3615,.4233,-1.00911,816.96,263.22,"0","R","K","MCQ_FT_10"
44,-.422364,1,500.0000,296.0000,.099529,1.0229,.5810,1.0077,.1510,.001965,.3606,1.0000,67.535,69.609,.3817,.4488,-.422342,1260.5,536.43,"0","R","K","MCQ_FT_11"
45,-.806560,1,500.0000,333.0000,.103350,1.0112,.2610,.9847,-.1790,.001962,.3619,1.0000,73.146,72.787,.3695,.4297,-.806511,947.08,352.51,"0","R","K","MCQ_FT_12"
46,.960195,1,500.0000,158.0000,.104217,.9645,-.7590,1.0076,.1210,.001934,.3949,1.0000,75.150,73.098,.3647,.4162,.960135,924.22,322.54,"0","R","K","MCQ_FT_13"
47,2.545712,1,500.0000,52.0000,.152666,.9473,-.4591,.8309,-.8292,.001896,.3096,1.0000,89.980,89.734,.2572,.2815,2.544981,169.37,49.54,"0","R","K","MCQ_FT_14"
48,.361375,1,500.0000,216.0000,.098617,.9736,-.6890,.9859,-.2290,.001954,.4090,1.0000,71.543,68.706,.3837,.4418,.361357,1400.0,602.16,"0","R","K","MCQ_FT_15"
49,-.848684,1,500.0000,329.0000,.103337,1.0649,1.4211,1.0603,.8011,.003566,.3285,1.0000,69.800,72.410,.3782,.4406,-.848633,977.15,345.39,"0","R","K","MCQ_FT_16"
